0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
115.21,41.032,41.032,41.032,41.032,41.032,68.209,1087.4,1087.4,68.209,83.836,83.836,83.836,83.836,83.836,20.014,20.014,125.58,89.465,125.58,89.465,125.58,58.51,125.58,58.51,125.58,58.51,125.58,72.432,125.58,72.432,150.36,120.11,125.58,120.11,150.36,104,150.36,104,150.36,19.992,444.37,444.37,545.9,545.9,545.9,545.9,545.9
118.81,20.014,20.014,56.786,56.786,56.786,56.786,1013.6,1013.6,78.041,79.858,79.858,79.858,79.858,40.602,40.602,40.602,124.82,80.656,124.82,80.656,124.82,80.656,124.82,65.896,124.82,65.896,124.82,65.896,232.3,65.896,232.3,109.59,116.43,109.59,116.43,109.59,116.43,109.59,116.43,19.992,618.97,618.97,618.97,618.97,472.48,472.48,472.48
122.4,43.95,43.95,43.95,43.95,43.95,43.95,1004.5,1004.5,61.208,61.208,61.208,61.208,61.208,61.208,61.208,61.208,131.04,94.25,131.04,94.25,127.84,59.786,127.84,59.786,127.84,59.786,127.84,72.548,127.84,72.548,136.33,117.8,127.84,117.8,136.33,102.9,136.33,102.9,136.33,19.992,439.14,439.14,709.85,709.85,466.69,466.69,466.69
126,20.012,20.012,55.47,55.47,55.47,55.47,1056.1,1056.1,63.36,63.36,63.36,63.36,63.36,63.36,63.36,63.36,144.98,90.51,144.98,90.51,156.06,61.102,156.06,61.102,156.06,61.102,156.06,71.56,156.06,71.56,156.06,122.38,112.98,122.38,112.98,102.02,112.98,102.02,112.98,19.991,586.05,586.05,586.05,586.05,477.58,477.58,477.58
129.61,50.389,50.389,50.389,50.389,50.389,50.389,1121.6,1121.6,67.969,67.969,67.969,67.969,67.969,67.969,67.969,67.969,86.407,95.253,147.26,95.253,147.26,85.498,114.15,85.498,114.15,85.498,144.67,85.498,144.67,85.498,210.56,85.498,210.56,85.498,210.56,85.498,67.977,51.366,67.977,51.366,460.91,460.91,767.53,767.53,470.16,470.16,470.16
133.21,20.039,37.894,37.894,56.434,56.434,85.29,1099.3,1099.3,78.152,78.152,78.152,78.152,78.152,78.152,19.998,19.998,127.06,82.97,127.06,82.97,127.06,82.97,127.06,69.324,127.06,69.324,127.06,69.324,127.06,69.324,156.85,113.31,127.06,113.31,156.85,113.31,156.85,113.31,156.85,19.991,603.82,603.82,603.82,603.82,430.81,430.81,430.81
136.8,30.704,30.704,30.704,64.332,64.332,64.332,1087,1087,78.111,78.111,78.111,70.296,70.296,38.065,38.065,38.065,146.63,75.041,146.63,75.041,130.6,75.041,130.6,75.041,130.6,75.041,130.6,75.041,130.6,75.041,250.73,94.68,130.6,94.68,250.73,94.68,66.903,94.68,66.903,94.68,461.04,461.04,776.17,776.17,468.27,468.27,468.27
140.41,30.921,30.921,30.921,61.429,61.429,61.429,1121.5,1121.5,75.586,75.586,75.586,75.586,75.586,75.586,20.007,20.007,144.81,93.748,144.81,93.748,123.4,62.847,123.4,62.847,123.4,62.847,123.4,62.847,123.4,110.41,152.39,110.41,152.39,102.15,152.39,102.15,152.39,102.15,152.39,19.991,566,566,566,566,487.53,487.53,487.53
144.01,44.684,44.684,44.684,44.684,44.684,44.684,1117.5,1117.5,77.7,77.7,77.7,70.02,70.02,38.589,38.589,38.589,118.55,94.915,118.55,94.915,118.55,63.513,118.55,63.513,118.55,63.513,118.55,63.513,223.75,111.49,223.75,111.49,114.18,106.98,114.18,106.98,114.18,106.98,114.18,19.991,594.46,594.46,594.46,594.46,428.43,428.43,428.43
147.61,42.784,42.784,42.784,42.784,42.784,42.784,1035.1,1035.1,83.088,83.088,83.088,67.243,67.243,37.846,37.846,37.846,127.67,82.297,127.67,82.297,127.67,82.297,127.67,69.005,127.67,69.005,127.67,69.005,212.07,69.005,212.07,108.44,106.59,108.44,106.59,108.44,106.59,108.44,106.59,19.991,467.56,467.56,787.8,787.8,451.25,451.25,451.25
