0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
118.81,20.043,19.984,51.838,55.418,57.917,61.97,987.481,1039.697,78.041,86.759,84.464,69.871,78.287,81.313,19.984,20.028,87.924,56.202,188.6,123.996,93.479,62.068,120.211,54.182,101.849,62.637,155.233,62.57,138.267,84.029,321.655,118.759,148.255,115.621,188.258,121.643,110.196,82.333,19.991,19.992,377.372,537.399,817.876,743.586,559.892,465.487,391.312
122.4,20.038,19.982,51.506,51.501,56.088,63.702,965.83,1043.239,73.034,85.718,77.098,62.131,71.068,80.988,19.98,20.007,87.889,61.18,172.675,127.214,97.825,61.548,125.218,55.805,104.313,61.829,151.109,61.517,123.225,82.495,258.579,126.856,158.203,108.737,166.273,120.547,107.143,85.243,19.992,19.992,358.193,513.899,665.472,753.013,543.534,464.318,392.214
126,20.044,19.981,50.645,53.663,60.161,57.409,1083.069,1029.224,94.207,74.41,71.448,69.378,79.345,78.113,19.979,19.999,87.758,63.957,202.122,117.033,96.358,62.487,125.906,55.703,100.679,64.965,145.725,62.916,124.823,79.505,342.811,127.155,161.048,117.609,166.602,123.544,105.685,80.492,19.992,19.991,359.674,526.231,684.815,773.462,566.559,474.285,391.883
129.61,20.032,19.982,50.021,53.011,54.546,104.912,1118.625,1124.588,77.342,84.867,95.974,68.733,91.196,85.533,19.989,20.007,86.407,61.857,199.729,128.602,94.798,64.172,125.461,55.824,102.847,63.793,156.886,63.837,132.461,79.143,262.371,127.282,182.926,110.207,187.717,119.762,116.655,82.74,19.992,19.991,367.548,554.266,784.85,750.2,549.278,463.15,398.061
133.21,20.039,19.981,55.807,53.915,58.953,85.29,1152.333,1046.3,81.772,79.75,80.879,69,79.925,77.584,19.988,20.008,88.039,61.522,163.082,123.689,96.059,63.997,116.203,57.012,99.993,64.347,154.627,64.865,130.823,90.256,316.727,132.063,165.707,110.868,173.544,124.355,117.509,85.917,19.993,19.991,360.495,529.852,851.794,673.138,497.394,427.319,367.706
136.8,20.01,19.987,52.101,54.157,60.181,78.72,1149.265,1024.733,70.128,84.065,80.14,64.812,75.787,74.132,19.984,20.004,86.453,62.069,204.14,124.221,96.432,65.05,125.073,57.802,104.452,65.919,155.268,63.522,146.253,86.406,322.122,138.359,153.994,114.901,173.5,115.495,113.635,84.805,19.992,19.991,374.501,547.574,762.218,790.114,562.854,461.78,380.173
140.41,20.032,19.983,52.911,62.253,60.786,61.311,1209.606,1033.377,72.068,82.237,75.329,68.363,77.102,78.423,19.996,20.018,88.647,61.876,200.168,125.212,97.007,64.499,130.313,58.134,109.737,64.908,153.413,63.861,125.58,88.683,255.398,132.932,181.554,108.48,195.171,115.942,110.61,80.955,19.992,19.991,361.231,501.459,658.697,742.596,564.79,482.298,415.494
144.01,20.033,19.982,54.385,57.353,59.852,55.955,1215.61,1019.45,86.264,65.351,81.906,64.757,75.229,75.906,19.993,20.022,90.503,63.561,158.265,126.025,97.792,65.61,114.565,56.512,104.909,65.233,144.099,66.693,121.227,86.7,318.477,137.367,160.325,115.691,164.031,119.769,113.397,84.199,19.992,19.991,337.469,517.631,818.992,703.767,505.397,424.327,355.555
147.61,20.022,19.98,52.765,54.368,58.858,50.625,1066.464,1003.741,101.605,69.045,78.992,63.661,70.772,73.475,20,20.008,83.385,62.073,196.624,118.612,92.541,66.32,126.59,59.772,109.153,65.923,157.105,65.975,136.937,84.229,284.482,121.866,141.851,120.366,154.218,112.399,110.92,79.146,19.992,19.991,378.085,557.039,801.979,773.623,543.739,445.724,364.286
151.21,20.022,19.978,52.466,62.634,61.339,81.044,1011.173,1024.665,142.333,82.885,76.436,66.69,77.721,71.567,19.992,20.039,86.374,62.508,187.051,128.587,95.412,66.171,125.323,59.111,110.3,64.752,158.21,65.298,142.921,81.726,308.894,125.595,141.821,109.031,168.352,113.742,110.183,83.192,19.992,19.991,372.777,549.055,783.688,772.779,577.461,484.195,409.238
154.81,20.026,19.979,56.501,64.471,61.858,124.308,1122.903,1060.521,99.209,89.438,76.753,65.545,79.177,78.321,19.987,20.032,89.517,63.382,204.854,122.2,96.799,64.718,129.475,57.798,109.356,67.98,150.559,64.345,141.393,85.166,300.884,123.411,166.296,109.152,176.549,115.302,108.191,84.672,19.991,19.992,374.253,530.41,645.8,763.349,577.37,491.152,426.267
158.41,20.022,19.98,48.118,63.712,61.416,105.233,1160.401,1070.581,94.516,91.704,84.319,72.173,86.983,86.214,19.985,20.007,89.044,64.18,194.501,117.322,96.023,64.989,118.745,57.421,108.83,68.732,149.842,66.472,129.891,86.811,270.785,129.224,170.914,113.278,178.348,116.79,116.051,81.902,19.991,19.992,346.381,500.617,718.131,678.047,532.125,454.591,385.884
162.01,20.024,19.983,50.918,62.941,59.053,65.115,987.448,969.561,98.974,77.337,75.202,72.506,86.844,83.987,19.984,20.019,90.334,62.153,161.882,129.014,94.856,64.71,120.152,58.149,103.453,67.413,149.458,68.507,126.622,88.133,330.894,128.147,156.874,114.087,166.004,122.676,119.292,83.171,19.991,19.992,350.434,531.209,837.146,734.286,512.385,423.525,360.088
165.61,20.021,19.988,49.969,64.176,57.061,101.701,1086.856,1017.574,102.974,79.453,72.945,72.067,78.585,75.722,19.992,20.011,89.068,61.887,196.501,131.576,94.471,63.844,129.538,59.276,108.844,68.555,162.24,66.875,135.208,84.859,365.691,128.541,139.282,107.915,171.659,123.646,110.453,89.12,19.991,19.992,384.691,588.965,897.558,789.139,588.25,492.1,413.224
169.21,20.012,19.992,46.277,59.994,50.457,155.709,1169.848,1125.726,83.193,84.195,80.031,62.731,81.993,85.324,19.999,20.012,91.235,64.655,210.954,126.997,100.552,64.778,136.394,59.528,114.775,67.188,164.424,65.254,163.48,82.805,329.835,137.464,166.178,107.164,172.791,119.292,110.855,87.815,19.991,19.992,412.191,566.119,798.963,732.568,567.146,480.116,408.662
172.8,20,19.977,51.597,60.991,57.445,90.819,1124.225,1011.838,94.538,74.169,68.36,69.928,86.96,85.727,20,20.014,91.346,63.107,193.243,128.266,99.642,64.887,127.452,59.504,109.666,67.088,166.847,65.568,148.096,92.009,330.467,148.43,158.37,110.742,148.528,126.336,109.669,82.827,19.991,19.993,374.546,559.881,821.365,742.789,509.056,426.639,363.102
176.41,19.991,19.977,53.162,61.982,63.124,91.989,1074.186,1139.247,92.256,96.617,75.911,69.78,75.073,83.576,19.99,20.02,94.766,63.369,232.143,130.572,99.176,65.286,130.13,59.616,114.981,69.072,164.499,70.263,141.324,92.181,303.774,140.026,145.455,108.287,164.813,120.317,101.678,82.199,19.991,19.993,389.229,547.278,778.26,770.268,582.625,489.725,406.164
