0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
115.21 ,20.034 ,19.986 ,52.398 ,53.309 ,59.386 ,52.668 ,1118.925 ,1055.874 ,75.147 ,77.694 ,89.924 ,72.291 ,88.115 ,93.627 ,19.984 ,20.043 ,86.605 ,57.050 ,183.802 ,121.808 ,91.744 ,61.749 ,113.535 ,52.514 ,101.844 ,61.095 ,150.448 ,61.393 ,120.270 ,82.799 ,298.725 ,121.304 ,155.007 ,118.914 ,163.918 ,126.211 ,117.909 ,81.809 ,19.990 ,19.992 ,354.524 ,534.225 ,763.480 ,700.450 ,497.883 ,420.773 ,346.936 
118.81 ,20.043 ,19.984 ,51.838 ,55.418 ,57.917 ,61.970 ,987.481 ,1039.697 ,78.041 ,86.759 ,84.464 ,69.871 ,78.287 ,81.313 ,19.984 ,20.028 ,87.924 ,56.202 ,188.600 ,123.996 ,93.479 ,62.068 ,120.211 ,54.182 ,101.849 ,62.637 ,155.233 ,62.570 ,138.267 ,84.029 ,321.655 ,118.759 ,148.255 ,115.621 ,188.258 ,121.643 ,110.196 ,82.333 ,19.991 ,19.992 ,377.372 ,537.399 ,817.876 ,743.586 ,559.892 ,465.487 ,391.312 
122.40 ,20.038 ,19.982 ,51.506 ,51.501 ,56.088 ,63.702 ,965.830 ,1043.239 ,73.034 ,85.718 ,77.098 ,62.131 ,71.068 ,80.988 ,19.980 ,20.007 ,87.889 ,61.180 ,172.675 ,127.214 ,97.825 ,61.548 ,125.218 ,55.805 ,104.313 ,61.829 ,151.109 ,61.517 ,123.225 ,82.495 ,258.579 ,126.856 ,158.203 ,108.737 ,166.273 ,120.547 ,107.143 ,85.243 ,19.992 ,19.992 ,358.193 ,513.899 ,665.472 ,753.013 ,543.534 ,464.318 ,392.214 
126.00 ,20.044 ,19.981 ,50.645 ,53.663 ,60.161 ,57.409 ,1083.069 ,1029.224 ,94.207 ,74.410 ,71.448 ,69.378 ,79.345 ,78.113 ,19.979 ,19.999 ,87.758 ,63.957 ,202.122 ,117.033 ,96.358 ,62.487 ,125.906 ,55.703 ,100.679 ,64.965 ,145.725 ,62.916 ,124.823 ,79.505 ,342.811 ,127.155 ,161.048 ,117.609 ,166.602 ,123.544 ,105.685 ,80.492 ,19.992 ,19.991 ,359.674 ,526.231 ,684.815 ,773.462 ,566.559 ,474.285 ,391.883 
129.61 ,20.032 ,19.982 ,50.021 ,53.011 ,54.546 ,104.912 ,1118.625 ,1124.588 ,77.342 ,84.867 ,95.974 ,68.733 ,91.196 ,85.533 ,19.989 ,20.007 ,86.407 ,61.857 ,199.729 ,128.602 ,94.798 ,64.172 ,125.461 ,55.824 ,102.847 ,63.793 ,156.886 ,63.837 ,132.461 ,79.143 ,262.371 ,127.282 ,182.926 ,110.207 ,187.717 ,119.762 ,116.655 ,82.740 ,19.992 ,19.991 ,367.548 ,554.266 ,784.850 ,750.200 ,549.278 ,463.150 ,398.061 
133.21 ,20.039 ,19.981 ,55.807 ,53.915 ,58.953 ,85.290 ,1152.333 ,1046.300 ,81.772 ,79.750 ,80.879 ,69.000 ,79.925 ,77.584 ,19.988 ,20.008 ,88.039 ,61.522 ,163.082 ,123.689 ,96.059 ,63.997 ,116.203 ,57.012 ,99.993 ,64.347 ,154.627 ,64.865 ,130.823 ,90.256 ,316.727 ,132.063 ,165.707 ,110.868 ,173.544 ,124.355 ,117.509 ,85.917 ,19.993 ,19.991 ,360.495 ,529.852 ,851.794 ,673.138 ,497.394 ,427.319 ,367.706 
136.80 ,20.010 ,19.987 ,52.101 ,54.157 ,60.181 ,78.720 ,1149.265 ,1024.733 ,70.128 ,84.065 ,80.140 ,64.812 ,75.787 ,74.132 ,19.984 ,20.004 ,86.453 ,62.069 ,204.140 ,124.221 ,96.432 ,65.050 ,125.073 ,57.802 ,104.452 ,65.919 ,155.268 ,63.522 ,146.253 ,86.406 ,322.122 ,138.359 ,153.994 ,114.901 ,173.500 ,115.495 ,113.635 ,84.805 ,19.992 ,19.991 ,374.501 ,547.574 ,762.218 ,790.114 ,562.854 ,461.780 ,380.173 
140.41 ,20.032 ,19.983 ,52.911 ,62.253 ,60.786 ,61.311 ,1209.606 ,1033.377 ,72.068 ,82.237 ,75.329 ,68.363 ,77.102 ,78.423 ,19.996 ,20.018 ,88.647 ,61.876 ,200.168 ,125.212 ,97.007 ,64.499 ,130.313 ,58.134 ,109.737 ,64.908 ,153.413 ,63.861 ,125.580 ,88.683 ,255.398 ,132.932 ,181.554 ,108.480 ,195.171 ,115.942 ,110.610 ,80.955 ,19.992 ,19.991 ,361.231 ,501.459 ,658.697 ,742.596 ,564.790 ,482.298 ,415.494 
144.01 ,20.033 ,19.982 ,54.385 ,57.353 ,59.852 ,55.955 ,1215.610 ,1019.450 ,86.264 ,65.351 ,81.906 ,64.757 ,75.229 ,75.906 ,19.993 ,20.022 ,90.503 ,63.561 ,158.265 ,126.025 ,97.792 ,65.610 ,114.565 ,56.512 ,104.909 ,65.233 ,144.099 ,66.693 ,121.227 ,86.700 ,318.477 ,137.367 ,160.325 ,115.691 ,164.031 ,119.769 ,113.397 ,84.199 ,19.992 ,19.991 ,337.469 ,517.631 ,818.992 ,703.767 ,505.397 ,424.327 ,355.555 
147.61 ,20.022 ,19.980 ,52.765 ,54.368 ,58.858 ,50.625 ,1066.464 ,1003.741 ,101.605 ,69.045 ,78.992 ,63.661 ,70.772 ,73.475 ,20.000 ,20.008 ,83.385 ,62.073 ,196.624 ,118.612 ,92.541 ,66.320 ,126.590 ,59.772 ,109.153 ,65.923 ,157.105 ,65.975 ,136.937 ,84.229 ,284.482 ,121.866 ,141.851 ,120.366 ,154.218 ,112.399 ,110.920 ,79.146 ,19.992 ,19.991 ,378.085 ,557.039 ,801.979 ,773.623 ,543.739 ,445.724 ,364.286 
